,시도별(1),시점,아동학대 의심사례,latitude,longtitude
4,서울,2018,3301,37.538621,126.992652
8,부산,2018,2174,35.229459,129.124985
12,대구,2018,1513,35.855227,128.661413
16,인천,2018,2081,37.662311,126.796354
20,광주,2018,1102,35.191453,126.974922
24,대전,2018,1095,36.386379,127.511742
28,세종,2018,148,36.571728,127.309748
32,울산,2018,850,35.586029,129.386485
36,경기,2018,8041,37.484108,127.522423
40,강원,2018,1392,37.915648,128.161036
44,충북,2018,991,37.070866,127.956560
48,충남,2018,1708,36.803435,127.015740
52,전북,2018,1845,35.803922,127.414181
56,전남,2018,2020,34.954678,127.197548
60,경북,2018,2258,35.837855,129.173126
64,경남,2018,1233,35.670216,128.261690
68,제주,2018,593,33.458114,126.849783
