"발생지역별(1)","시점",범죄발생총건수(A) (건),인구(B) (명),A/Bⅹ100000 (건/10만명),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),형법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건),특별법범 (건)
"발생지역별(1)","시점",소계,소계,소계,소계,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,재산범죄,강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(흉악),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),강력범죄(폭력),위조범죄,위조범죄,위조범죄,위조범죄,위조범죄,공무원범죄,공무원범죄,공무원범죄,공무원범죄,공무원범죄,풍속범죄,풍속범죄,풍속범죄,풍속범죄,과실범죄,과실범죄,과실범죄,과실범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,기타형법범죄,소계,가정폭력 범죄의 처벌등에 관한 특례법,가축분뇨의 관리 및 이용에 관한법률,감염병의 예방 및 관리에 관한법률,개발제한구역의 지정 및 관리에 관한 특별조치법,개인정보보호법,건강기능식품에 관한법률,건설기계관리법,건설산업기본법,건축법,게임산업진흥에 관한법률,결혼중개업의 관리에 관한법률,경범죄처벌법,고용보험법,공유수면관리 및 매립에 관한법률,공유재산 및 물품관리법,공인중개사법,공중위생관리법,공직선거법,관세법,교통사고처리 특례법,국가기술자격법,국가보안법,국민체육진흥법,국토의계획 및 이용에 관한법률,근로기준법,근로자 퇴직급여 보장법,낚시관리 및 육성법,노동조합 및 노동관계 조정법,농수산물유통 및 가격안정에 관한법률,농수산물의 원산지표시에 관한법률,농지법,대기환경보전법,대부업 등의 등록 및 금융이용자 보호에 관한법률,도로교통법,도로교통법(무면허운전),도로교통법(사고후미조치),도로교통법(음주운전),도로교통법(음주측정거부),도로법,도시 및 주거환경 정비법,독점규제 및 공정거래에 관한법률,디자인보호법,마약류 관리에 관한법률(대마),마약류 관리에 관한법률(마약),마약류 관리에 관한법률(향정),물환경보전법,배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,범죄수익 은닉의 규제 및 처벌 등에 관한법률,변호사법,병역법,보조금관리에 관한법률,부동산 실권리자 명의 등기에 관한법률,부정경쟁방지 및 영업비밀 보호에 관한법률,부정수표단속법,사행행위 등 규제 및 처벌특례법,산림자원의 조성 및 관리에 관한법률,산업안전보건법,산지관리법,상표법,석유 및 석유대체연료 사업법,선박안전법,선박직원법,성매매알선 등 행위의 처벌에 관한법률,수도법,수산업법,수산자원관리법,스토킹범죄의처벌등에관한법률,식품위생법,신용정보의 이용 및 보호에 관한법률,아동·청소년의 성보호에 관한법률(성매수등),아동·청소년의 성보호에 관한법률(성착취물등),아동·청소년의 성보호에 관한법률(음란물등),아동복지법,액화석유가스의 안전관리 및 사업법,약사법,여객자동차 운수 사업법,여신전문 금융업법,영유아보육법,예비군법,옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,외국환거래법,위험물 안전관리법,유사수신행위의 규제에 관한법률,의료기기법,의료법,자동차관리법,자동차 손해배상 보장법,자본시장과 금융투자업에 관한법률,저작권법,전자금융거래법,전파법,정보통신망이용촉진 및 정보보호 등에 관한법률,조세범처벌법,주민등록법,주차장법,주택법,직업안정법,집회 및 시위에 관한법률,청소년보호법,총포·도검·화약류등의 안전관리에 관한법률,최저임금법,축산물 위생관리법,출입국관리법,통신비밀 보호법,특가법(도주차량),특허법,폐기물관리법,풍속영업의 규제에 관한법률,하천법,학교보건법,학원의 설립운영 및 과외교습에 관한법률,화물자동차 운수 사업법,화재로 인한 재해보상과 보험가입에 관한법률,화재예방·소방시설설치유지 및 안전관리에 관한법률,화학물질관리법,기타특별법
"발생지역별(1)","시점",소계,소계,소계,소계,소계,절도,장물,사기,횡령,배임,손괴,소계,살인,강도,방화,성폭력,소계,폭행,상해,협박,공갈,약취와 유인,체포와 감금,폭력행위등(손괴강요주거침입등),폭력행위등(단체등의구성 활동),소계,통화,유가증권·인지·우표,문서,인장,소계,직무유기,직권남용,수뢰,증뢰,소계,도박과 복표,신앙,기타음란행위,소계,과실치사상,업무상 과실치사상,실화,소계,명예,권리행사방해,신용업무경매,주거침입,비밀침해,유기,교통방해,공무방해,도주와범인은닉,위증과 증거인멸,무고,공안을 해하는죄,내란의죄,음용수에 관한죄,일수와 수리에 관한죄,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"계","2018",1738190,51826059,3353.9,988398,576937,177458,965,278566,57172,5788,56988,35272,849,841,1478,32104,233392,164500,43666,17777,4823,199,1494,769,164,17535,1203,246,14877,1209,4422,1558,1835,757,272,9097,6074,374,2649,8836,2806,3621,2409,102907,28827,13482,23629,13701,112,332,1429,11369,430,3335,6049,107,25,17,10,53,749792,361,955,95,870,1498,374,710,1992,4047,5078,112,6713,2018,4179,57,1226,1704,2231,746,192030,60,57,226,1177,46856,14352,561,709,35,3975,743,2551,1496,13958,24440,15241,140515,2945,2056,417,77,243,944,1283,5592,1844,192,355,716,6941,358,486,625,1781,305,732,6499,2473,3489,1576,1946,2179,6978,151,2897,2017,-,6800,22,345,-,993,4123,84,844,723,2411,173,7428,356,868,450,871,534,3154,21464,28585,376,10284,8318,647,14905,3044,2211,240,586,391,192,8351,349,821,572,2633,237,2833,201,1776,156,219,3,512,2393,9,389,478,54393
"계","2019",1767684,51849861,3409.2,1041395,627430,187629,925,313593,60819,5996,58468,35066,847,845,1345,32029,232316,161915,40306,21648,5574,260,1591,853,169,16771,1026,200,14982,563,3879,1365,1784,540,190,11447,8086,365,2996,9176,3130,3713,2333,105310,29938,12037,23107,17181,128,260,1382,12056,364,2887,5701,171,16,16,10,56,726289,395,956,219,678,1719,302,1081,912,3947,4480,89,7638,2739,6040,1562,886,1939,82,860,199592,1106,54,388,1558,46503,13466,1157,631,41,2849,746,2633,1603,14804,23588,12220,107425,2691,2131,513,51,303,1566,1437,6289,789,149,311,560,6331,1156,417,560,1603,261,837,7689,2431,3828,1336,1110,2202,5241,128,3934,2235,-,7480,37,319,-,748,5444,97,1024,1207,2269,195,6475,217,747,498,1203,292,3593,22193,23741,339,8140,8648,1930,15459,2998,1770,155,662,343,225,8065,371,884,495,4306,268,405,228,1945,87,266,9,409,2305,13,513,638,61657
"계","2020",1714579,51829023,3308.1,1044438,659058,180067,616,354154,60539,5178,58504,32812,805,692,1210,30105,210241,143600,36022,21814,5993,223,1467,982,140,15614,627,118,14282,587,3689,1419,1668,472,130,10951,8068,228,2655,8873,2883,3604,2386,103200,30733,9221,22917,18342,151,235,1454,11238,332,2370,5908,185,33,25,8,48,670141,402,948,2482,673,2198,239,333,697,3401,3918,83,7702,2606,9005,111,911,2212,1439,599,184990,397,51,384,1333,36972,10321,1036,603,30,2068,878,2379,1320,13383,21368,11717,95569,2926,2117,471,35,460,1790,1899,6916,668,79,296,459,2063,1066,475,674,850,263,880,4847,2594,3078,998,1937,4322,3511,168,5744,2305,-,6734,54,286,2684,-,6238,107,1222,898,2138,144,1855,162,312,729,1096,415,3076,24870,19485,346,6826,6743,405,17763,2854,2137,104,597,208,282,7690,392,814,305,2584,297,9821,212,2118,77,244,-,382,3198,23,391,702,51472
"계","2021",1531705,51638809,2966.2,917787,575332,166782,302,297981,51588,4282,54397,35126,692,511,1025,32898,180460,119515,30862,21502,5587,251,1401,1209,133,13518,379,82,12425,632,3717,1423,1588,586,120,9135,6321,252,2562,8179,2557,3339,2283,92320,31409,6318,17574,18535,122,273,1449,9640,237,1933,4551,204,17,27,15,16,613918,1088,835,7458,492,2209,183,285,645,2360,2775,39,7100,2909,5127,83,944,1720,331,393,155625,52,83,588,1324,28974,8091,502,526,32,2314,1367,2867,759,12071,18482,8982,91055,3243,4306,497,38,188,1682,1338,6039,601,95,284,363,1604,671,413,487,669,182,736,4477,2523,2967,501,2091,3814,3221,177,1815,884,1024,5160,29,338,1672,-,12579,148,938,418,1925,137,275,140,246,596,558,286,2508,28517,16593,468,6514,7194,1380,18651,2061,1599,73,760,148,307,5021,348,674,283,1346,295,8840,142,2206,66,1795,1,380,3079,39,517,612,58456
"서울","2018",341288,9765623,3494.8,213505,125729,39306,194,57121,16659,1536,10913,9975,150,145,292,9388,45815,35525,5639,3220,945,49,259,160,18,4049,457,90,3368,134,1270,412,585,193,80,1480,831,45,604,1497,621,551,325,23690,7500,2109,5722,2931,27,208,100,2584,69,852,1534,18,21,1,-,14,127783,75,2,17,54,440,43,44,542,272,808,20,1787,261,1,6,163,462,230,102,34797,12,35,51,45,10099,3860,-,189,7,100,1,179,330,2301,4392,1170,15364,328,143,166,58,68,323,61,1451,62,-,89,217,2102,43,81,198,432,49,19,932,17,1367,24,-,-,1498,8,-,-,-,1456,8,33,-,166,587,3,234,115,636,25,1408,75,293,15,447,269,934,4953,4348,284,3325,1877,375,4430,832,421,131,113,68,106,1352,96,210,61,340,53,372,57,62,55,7,2,119,589,-,17,168,8259
"서울","2019",340504,9729107,3499.8,220375,133564,42362,164,61178,17648,1489,10723,9939,160,157,252,9370,44745,34070,5079,3950,1138,64,254,163,27,4121,443,85,3468,125,1157,325,595,174,63,1952,1087,124,741,1567,706,533,328,23330,7095,1670,5416,3838,33,152,82,2648,65,746,1428,105,15,3,-,34,120129,79,3,45,76,448,47,34,188,254,795,22,2083,388,-,3,168,720,13,103,34492,14,25,97,38,9491,3528,-,138,2,68,3,147,283,2293,3802,917,11171,307,107,157,40,84,557,72,1510,30,-,109,161,1848,115,84,211,532,42,19,1119,17,1611,17,-,-,1093,12,-,-,-,1684,8,48,-,228,768,15,276,85,509,17,1261,55,176,13,542,134,975,5303,3188,242,2239,2172,510,4572,751,386,58,85,73,116,1321,97,232,51,434,63,113,66,61,29,3,3,120,597,-,40,182,8396
"서울","2020",318320,9668465,3292.4,212043,134003,38414,67,66999,16726,1283,10514,8814,168,143,218,8285,38551,28699,4243,4040,1060,54,262,176,17,3432,208,40,3083,101,961,338,436,140,47,2075,1358,17,700,1494,567,554,373,22713,7094,1301,5324,4198,33,119,73,2353,64,606,1396,115,20,3,-,14,106277,96,1,744,45,566,46,22,154,328,534,13,2109,393,-,8,179,417,297,77,31193,12,32,62,13,7025,2530,-,104,1,55,7,82,297,2468,2906,932,10524,313,107,172,22,94,749,66,1753,28,-,62,160,447,92,87,240,218,41,25,594,14,966,22,-,-,699,18,-,-,-,1738,10,39,465,-,995,3,291,43,490,6,344,33,77,7,639,175,829,5550,1972,233,1762,1372,140,5055,730,406,63,78,42,160,1110,128,197,39,339,71,1047,55,41,20,5,-,111,399,1,25,198,7483
"서울","2021",274830,9509458,2890.1,179429,110514,33639,39,52627,13728,1068,9413,8901,130,125,187,8459,32900,24030,3413,3889,1015,56,276,210,11,2732,130,32,2492,78,799,294,364,106,35,1599,995,17,587,1406,493,520,393,20578,7853,854,3866,4036,29,121,67,1981,38,503,1128,78,12,3,-,9,95401,224,-,1840,34,553,45,15,120,243,252,12,1896,442,-,1,152,424,164,76,25580,5,52,126,12,5213,1903,-,88,4,75,4,165,172,2603,2600,840,9070,296,143,137,22,42,589,97,1609,25,-,42,101,305,43,47,154,231,30,10,568,12,1021,11,-,-,585,18,-,-,247,1096,9,41,350,-,2169,6,239,45,328,18,34,24,90,7,244,119,692,6838,1480,285,1710,1259,126,5693,526,291,34,69,26,175,701,86,111,40,157,80,976,24,63,19,3,1,68,295,-,67,152,7145
