"시군구별(1)","시군구별(2)",시군구별(3),시점,응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
"서울특별시","소계",소계,2018,22900,13.0,0.3,13.8,0.3
"서울특별시","소계",소계,2019,22925,12.6,0.3,13.5,0.3
"서울특별시","소계",소계,2020,22907,8.9,0.2,9.6,0.2
"서울특별시","소계",소계,2021,22919,8.3,0.2,9.1,0.2
"서울특별시","강남구",소계,2018,917,12.3,1.0,13.4,1.1
"서울특별시","강남구",소계,2019,922,10.2,1.0,11.2,1.1
"서울특별시","강남구",소계,2020,916,9.7,1.1,10.4,1.0
"서울특별시","강남구",소계,2021,925,5.8,0.6,6.1,0.8
"서울특별시","강동구",소계,2018,917,10.6,1.1,11.1,1.3
"서울특별시","강동구",소계,2019,920,13.7,1.1,14.7,1.3
"서울특별시","강동구",소계,2020,916,6.7,0.9,7.3,1.0
"서울특별시","강동구",소계,2021,917,6.1,0.7,6.4,0.8
"서울특별시","강북구",소계,2018,915,14.9,1.3,16.2,1.5
"서울특별시","강북구",소계,2019,919,15.6,1.8,17.7,1.5
"서울특별시","강북구",소계,2020,915,11.2,1.2,12.4,1.4
"서울특별시","강북구",소계,2021,915,12.6,1.2,13.3,1.3
"서울특별시","강서구",소계,2018,916,12.9,1.1,13.7,1.3
"서울특별시","강서구",소계,2019,919,11.2,1.1,11.7,1.2
"서울특별시","강서구",소계,2020,916,8.2,1.0,8.9,1.1
"서울특별시","강서구",소계,2021,918,8.1,1.1,8.9,1.1
"서울특별시","관악구",소계,2018,915,14.1,1.4,14.5,1.3
"서울특별시","관악구",소계,2019,915,10.8,1.1,11.3,1.1
"서울특별시","관악구",소계,2020,917,8.5,1.0,8.9,1.0
"서울특별시","관악구",소계,2021,919,10.2,1.0,11.1,1.1
"서울특별시","광진구",소계,2018,917,13.6,1.4,14.1,1.3
"서울특별시","광진구",소계,2019,917,13.4,1.2,14.2,1.3
"서울특별시","광진구",소계,2020,921,8.8,0.8,9.3,0.9
"서울특별시","광진구",소계,2021,917,9.8,1.1,11.1,1.0
"서울특별시","구로구",소계,2018,915,11.1,1.1,12.6,1.3
"서울특별시","구로구",소계,2019,916,11.4,1.4,12.2,1.3
"서울특별시","구로구",소계,2020,915,9.8,1.0,10.4,1.2
"서울특별시","구로구",소계,2021,915,7.5,1.1,8.1,1.1
"서울특별시","금천구",소계,2018,917,14.5,1.2,15.1,1.3
"서울특별시","금천구",소계,2019,916,13.7,1.3,15.0,1.4
"서울특별시","금천구",소계,2020,916,9.0,1.2,9.5,1.2
"서울특별시","금천구",소계,2021,916,11.7,1.1,13.2,1.3
"서울특별시","노원구",소계,2018,916,10.4,1.0,11.2,1.2
"서울특별시","노원구",소계,2019,918,13.3,1.6,14.1,1.4
"서울특별시","노원구",소계,2020,916,6.8,1.0,7.0,0.9
"서울특별시","노원구",소계,2021,916,6.0,0.8,6.4,0.9
"서울특별시","도봉구",소계,2018,912,15.3,1.1,16.0,1.4
"서울특별시","도봉구",소계,2019,916,12.6,1.4,14.1,1.4
"서울특별시","도봉구",소계,2020,915,9.5,1.2,11.5,1.3
"서울특별시","도봉구",소계,2021,914,8.5,1.0,10.2,1.2
"서울특별시","동대문구",소계,2018,920,14.6,1.3,15.6,1.4
"서울특별시","동대문구",소계,2019,917,19.7,1.5,22.3,1.5
"서울특별시","동대문구",소계,2020,916,9.8,1.3,10.6,1.3
"서울특별시","동대문구",소계,2021,918,8.6,1.1,9.7,1.1
"서울특별시","동작구",소계,2018,915,12.1,1.2,13.1,1.3
"서울특별시","동작구",소계,2019,915,11.2,1.3,11.6,1.2
"서울특별시","동작구",소계,2020,916,10.5,1.0,10.8,1.1
"서울특별시","동작구",소계,2021,916,6.2,0.8,6.6,0.9
"서울특별시","마포구",소계,2018,916,13.4,1.0,13.8,1.2
"서울특별시","마포구",소계,2019,916,11.6,1.2,12.7,1.1
"서울특별시","마포구",소계,2020,909,10.2,1.1,11.2,1.1
"서울특별시","마포구",소계,2021,918,8.1,0.9,8.9,1.0
"서울특별시","서대문구",소계,2018,915,13.4,1.3,15.1,1.4
"서울특별시","서대문구",소계,2019,916,13.9,1.6,15.0,1.4
"서울특별시","서대문구",소계,2020,920,6.2,0.9,6.7,0.9
"서울특별시","서대문구",소계,2021,915,7.2,1.0,8.1,1.0
"서울특별시","서초구",소계,2018,916,9.8,1.0,10.7,1.2
