시점,아동학대사례유형별(1),아동학대사례유형별(2),계,경찰수사,검찰수사,재판 진행중,판결,판결,판결,판결,판결,파악불가,파악불가
시점,아동학대사례유형별(1),아동학대사례유형별(2),소계,소계,소계,소계,소계,보호처분,형사처벌,무죄+공소기각+불처분,파악불가,수사진행 했으나 결과값 없음,수사미진행·처벌법 조치 완료
2018,총계,소계,7988,3038,1807,737,1705,1081,266,291,67,162,539
2018,신체학대,소계,1071,339,312,83,246,139,50,51,6,34,57
2018,정서학대,소계,1480,776,278,123,193,116,27,41,9,38,72
2018,성학대,소계,696,254,219,106,100,16,66,3,15,5,12
2018,방 임,소계,755,229,145,68,207,178,15,13,1,9,97
2018,중복학대,소계,3986,1440,853,357,959,632,108,183,36,76,301
2018,중복학대,신체/정서,2987,1080,653,225,775,515,75,154,31,60,194
2018,중복학대,신체/성,53,17,15,11,5,2,3,0,0,1,4
2018,중복학대,신체/방임,77,16,16,9,17,10,3,3,1,4,15
2018,중복학대,신체/정서/성,150,63,29,30,17,6,11,0,0,4,7
2018,중복학대,신체/정서/방임,278,96,34,45,69,50,9,10,0,3,31
2018,중복학대,신체/성/방임,8,3,2,1,1,1,0,0,0,0,1
2018,중복학대,정서?성,197,110,54,12,11,1,7,0,3,3,7
2018,중복학대,정서/방임,233,52,50,24,64,47,0,16,1,1,42
2018,중복학대,정서/성/방임,2,2,0,0,0,0,0,0,0,0,0
2018,중복학대,성/방임,1,1,0,0,0,0,0,0,0,0,0
2019,총계,소계,10998,4143,2786,1006,2326,1410,361,516,39,73,664
2019,신체학대,소계,1304,490,331,104,327,194,36,88,9,9,43
2019,정서학대,소계,2053,869,552,127,346,194,37,111,4,19,140
2019,성학대,소계,762,254,252,76,166,24,124,15,3,0,14
2019,방 임,소계,1100,541,254,58,150,100,8,42,0,11,86
2019,중복학대,소계,5779,1989,1397,641,1337,898,156,260,23,34,381
2019,중복학대,신체/정서,4363,1541,1142,360,1038,675,120,226,17,26,256
2019,중복학대,신체/성,32,7,9,11,4,1,2,1,0,1,0
2019,중복학대,신체/방임,120,36,30,5,35,21,4,5,5,0,14
2019,중복학대,신체/정서/성,174,47,34,52,21,8,11,2,0,5,15
2019,중복학대,신체/정서/방임,381,172,67,18,84,66,9,8,1,0,40
2019,중복학대,신체/성/방임,1,0,1,0,0,0,0,0,0,0,0
2019,중복학대,신체/정서/성/방임,194,10,5,171,4,0,4,0,0,0,4
2019,중복학대,정서/성,142,28,38,11,61,57,3,1,0,0,4
2019,중복학대,정서/방임,357,143,65,12,90,70,3,17,0,2,45
2019,중복학대,정서/성/방임,5,3,0,0,0,0,0,0,0,0,2
2019,중복학대,성/방임,10,2,6,1,0,0,0,0,0,0,1
2020,총계,소계,11209,4329,2628,804,2600,1635,276,647,42,92,756
2020,신체학대,소계,1278,432,303,109,363,192,42,119,10,16,55
2020,정서학대,소계,2268,977,587,132,425,266,38,116,5,18,129
2020,성학대,소계,604,252,188,61,89,10,66,11,2,4,10
2020,방 임,소계,981,319,217,81,233,179,16,34,4,12,119
2020,중복학대,소계,6078,2349,1333,421,1490,988,114,367,21,42,443
2020,중복학대,신체/정서,4710,1777,1061,304,1226,827,74,311,14,31,311
2020,중복학대,신체/성,28,12,11,3,1,0,0,0,1,0,1
2020,중복학대,신체/방임,130,39,24,11,42,32,3,7,0,0,14
2020,중복학대,신체/정서/성,130,50,29,16,23,12,9,2,0,2,10
2020,중복학대,신체/정서/방임,485,204,91,49,93,57,11,24,1,4,44
2020,중복학대,신체/성/방임,1,1,0,0,0,0,0,0,0,0,0
2020,중복학대,신체/정서/성/방임,15,4,1,3,7,6,1,0,0,0,0
2020,중복학대,정서/성,144,87,27,7,16,2,9,3,2,0,7
2020,중복학대,정서/방임,429,175,85,27,82,52,7,20,3,5,55
2020,중복학대,정서/성/방임,1,0,0,1,0,0,0,0,0,0,0
2020,중복학대,성/방임,5,0,4,0,0,0,0,0,0,0,1
2021,총계,소계,16096,6344,3223,883,2962,1874,316,697,75,349,2335
2021,신체학대,소계,2644,938,611,133,528,329,38,149,12,71,363
2021,정서학대,소계,3624,1533,723,169,612,353,81,167,11,87,500
2021,성학대,소계,544,212,158,81,50,11,24,3,12,16,27
2021,방 임,소계,1155,516,226,53,163,115,14,31,3,16,181
2021,중복학대,소계,8129,3145,1505,447,1609,1066,159,347,37,159,1264
2021,중복학대,신체/정서,6697,2554,1258,346,1394,940,106,316,32,135,1010
2021,중복학대,신체/성,23,5,6,4,4,0,4,0,0,0,4
2021,중복학대,신체/방임,161,48,39,12,27,20,5,2,0,2,33
2021,중복학대,신체/정서/성,93,40,18,6,12,3,6,1,2,2,15
2021,중복학대,신체/정서/방임,471,166,65,36,97,56,20,19,2,10,97
2021,중복학대,신체/정서/성/방임,16,7,0,2,3,0,3,0,0,0,4
2021,중복학대,정서/성,183,88,46,20,12,4,7,1,0,3,14
2021,중복학대,정서/방임,477,234,72,20,60,43,8,8,1,7,84
2021,중복학대,정서/성/방임,4,1,1,0,0,0,0,0,0,0,2
2021,중복학대,성/방임,4,2,0,1,0,0,0,0,0,0,1
